solution_id,type,judge,human_label,llm_label,match
1380309,DEBUG,WA,0,1,False
1298725,IDLE,MLE,1,1,True
1153749,IDLE,MLE,1,1,True
1009217,DEBUG,AC,0,1,False
1437949,IDLE,NoData,0,1,False
1133820,IDLE,TLE,1,1,True
1162233,DEBUG,NoData,1,1,True
1162277,DEBUG,WA,1,1,True
1132896,DEBUG,PE,1,1,True
1150469,IDLE,OLE,0,1,False
1454401,DEBUG,CE,1,1,True
1139243,IDLE,PE,1,1,True
1351364,IDLE,RE,1,1,True
1296350,IDLE,NoData,0,1,False
1414032,DEBUG,AC,1,0,False
1366530,DEBUG,NoData,1,1,True
1335152,IDLE,PE,0,0,True
1223445,IDLE,WA,1,1,True
1101965,IDLE,WA,1,1,True
1096919,IDLE,OLE,1,1,True
1106979,IDLE,AC,1,0,False
1382435,DEBUG,AC,1,0,False
1167097,DEBUG,WA,1,1,True
1431172,IDLE,OLE,1,1,True
1090098,IDLE,NoData,1,1,True
1165679,IDLE,TLE,0,1,False
1054701,IDLE,TLE,1,1,True
1209646,IDLE,NoData,1,1,True
1435350,IDLE,OLE,1,1,True
1102627,IDLE,AC,1,0,False
1269074,IDLE,NoData,0,1,False
1365622,IDLE,RE,1,1,True
1338946,DEBUG,CE,1,1,True
1149407,IDLE,WA,0,1,False
1065826,IDLE,TLE,1,1,True
1214121,DEBUG,TLE,1,1,True
1016399,IDLE,WA,1,1,True
1032384,IDLE,AC,1,1,True
1429470,IDLE,CE,1,1,True
1134953,IDLE,PE,1,1,True
1132867,DEBUG,PE,1,1,True
1121878,IDLE,AC,1,0,False
1167793,IDLE,CE,1,1,True
1090065,IDLE,NoData,1,1,True
1336637,IDLE,RE,1,1,True
1132867,DEBUG,PE,1,1,True
1096994,IDLE,AC,1,1,True
1019726,DEBUG,WA,1,1,True
1023146,DEBUG,AC,1,0,False
1208311,IDLE,AC,0,0,True
1360912,DEBUG,NoData,1,0,False
1111461,IDLE,PE,1,1,True
1379358,DEBUG,MLE,1,1,True
1248377,IDLE,OLE,1,1,True
1360456,DEBUG,AC,1,1,True
1437367,IDLE,OLE,1,1,True
1036863,DEBUG,WA,1,1,True
1251278,IDLE,PE,1,1,True
1435338,IDLE,OLE,1,1,True
996215,IDLE,WA,0,1,False
1213646,IDLE,CE,0,1,False
1355810,IDLE,PE,1,1,True
1368904,DEBUG,WA,1,1,True
1138564,IDLE,NoData,0,1,False
1296491,DEBUG,WA,1,1,True
1158328,IDLE,AC,1,0,False
1431974,IDLE,OLE,0,1,False
1334049,DEBUG,AC,1,1,True
1009211,DEBUG,AC,1,0,False
1379358,DEBUG,MLE,1,1,True
1412213,IDLE,TLE,0,1,False
1402656,IDLE,RE,1,1,True
1167850,DEBUG,NoData,1,1,True
1129221,IDLE,CE,1,1,True
1368147,IDLE,RE,0,1,False
1225069,DEBUG,AC,1,0,False
1219570,IDLE,CE,1,1,True
1077394,IDLE,WA,1,1,True
1114878,DEBUG,AC,0,0,True
