window_id,label,judge,duration_s,total_keys,current_idle_s,keys_5s,text_keys_5s,modifier_keys_5s,clipboard_ops_5s,keys_10s,text_keys_10s,keys_30s,text_keys_30s,modifier_keys_30s,clipboard_ops_30s,keys_60s,text_keys_60s,backspace_30s,enter_30s,pause_count_30s,pause_total_30s,code_replay
1154790-w005,1,WA,1274.4,188,0.491,2,2,0,0,2,2,3,3,0,0,3,3,0,0,1,19.81,"











          b   0
                       b


    int n=y%6;m
     c  m=y/6; 6*+1
    int extra=0;
    v     a-1
 c      1      n     =a

           extra       +2*m 0


    3
                           -extra-2*n+1

 c"
1138163-w001,0,AC,443.2,336,0.203,12,5,2,0,27,12,68,19,30,0,135,68,0,2,2,8.031," Include stdio h
 include string h
 include math h
 include stdlib h

int main
    int nl
    whilenscanf   d   n  EOF
        fo int i   i nn i
"
1138163-w002,1,AC,443.2,336,53.681,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0.0," Include stdio h
 include string h
 include math h
 include stdlib h

int main
    int nl
    whilenscanf   d   n  EOF
        forint i   i nn i
            for int j i   j  n j

"
1138163-w003,1,AC,443.2,336,131.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0," Include stdio h
 include string h
 include math h
 include stdlib h

int main
    int nl
    whilenscanf   d   n  EOF
        forint i   i nn i
            for int j i   j  n j

"
1138163-w004,1,AC,443.2,336,208.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0," Include stdio h
 include string h
 include math h
 include stdlib h

int main
    int nl
    whilenscanf   d   n  EOF
        forint i   i nn i
            for int j i   j  n j

"
1138163-w005,0,AC,443.2,336,3.372,7,3,1,0,16,5,35,10,14,0,66,19,0,1,2,14.705," Include stdio h
 include string h
 include math h
 include stdlib h

int main
    int nl
    whilenscanf   d   n  EOF
        intisumi   i nn i
            for int j i   j  n j

 f              if i j  i j
                    sum"
1080234-w001,0,WA,1490.6,551,2.813,4,3,1,0,11,9,32,27,5,0,66,56,0,0,4,9.128,"#include<stdio.h>
int is_leap_year(int year {
int return(year%4==0&&year%400!=0
    int y,m;
    while(scanf(""%d/%d ,&y,&m !=EOF {
"
1080234-w002,0,WA,1490.6,551,6.403,0,0,0,0,9,9,19,19,0,0,40,36,0,1,4,14.238,"#include<stdio.h>
int is_leap_year(int year {
int return(year%4==0&&year%400!=0 ||(year%400==  ;
    int y,m;
    while(scanf(""%d/%d ,&y,&m !=EOF {


    int month_ays [12 ={31,28,31,30,31,30,31,31,30,31,30,31};
    int total_days=0;

        total     =mo        [m-1 ;
        if(m=2&&is          (y  {
            t         ++;

        printf(""%d\n ,to         ;

    return 0;"
1080234-w003,1,WA,1490.6,551,53.878,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0.0,"#include<stdio.h>
int is_leap_year(int year {
int return(year%4==0&&year%400!=0 ||(year%400==  ;
    int y,m;
    while(scanf(""%d/%d ,&y,&m !=EOF {


    int month_ays [12 ={31,28,31,30,31,30,31,31,30,31,30,31};
    int total_days=0;

        votal     =mo        [m-1 ;
        if(m=2&&is          (y  {
            break;    ++;

        if(m<0||m>12||y<0 {      ;
            printf(""-1\n  ;
    return 0;"
1080234-w004,1,WA,1490.6,551,2.818,5,5,0,0,5,5,7,6,1,1,7,6,0,0,1,18.476,"#include<stdio.h>
int is_leap_year(int year {
int return(year%4==0&&year%400!=0 ||(year%400==  ;
    int y,m;
    while(scanf(""%d/%d ,&y,&m !=EOF {


    int month_ays [12 ={31,28,31,30,31,30,31,31,30,31,30,31};
    int total_days=0;

        votal     =mo        [m-1 ;
        if(m=2&&is          (y  {
            break;    ++;

        if(m<0||m>12||y<0 {      ;
        else rintf(""-1\n  ;
    return 0printf(""29\n
            break;
         else{

                      v
        }"
1080234-w005,1,WA,1490.6,551,76.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"#include<stdio.h>
int is_leap_year(int year {
int return(year%4==0&&year%400!=0 ||(year%400==  ;
    int y,m;
    while(scanf(""%d/%d ,&y,&m !=EOF {


    int month_ays [12 ={31,28,31,30,31,30,31,31,30,31,30,31};
    int total_days=0;

        votal     =mo        [m-1 ;
        if(m=2&&is          (y  {
            break;    ++;

        else 0||m>12||y<0 {      ;
        else rintf(""-1\n  ;
    return 0break;(""29\n
         else{eak;
            e{

        }             v
        }"
1055866-w001,1,WA,139.7,35,29.157,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,0.0,
1055866-w002,1,WA,139.7,35,53.081,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.0,
1055866-w003,1,WA,139.7,35,5.051,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0.0,
1055866-w004,1,WA,139.7,35,28.974,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0.0,
1055866-w005,1,WA,139.7,35,0.291,8,6,2,0,9,7,15,7,8,0,17,7,0,1,2,14.817,"

























                if(j*j"
1387653-w001,0,WA,1533.8,728,0.889,5,5,0,0,17,16,56,40,16,0,85,54,0,1,2,7.729,"#   lude<stdio.h>
int compare(const void *a,c     void *b {
    ret n;(*(int* a-*(int* b ;


    int s[100001 ;

    while(scanf(""%d ,&n !=EOF){
        if(n==1 {=0;i<n;i++ {
            pranf((""Yes\n[i; ;
            cont    ;




        int len=strlen(s ;
        qso  (s,len,sizeof(int ,com"
1387653-w002,0,WA,1533.8,728,0.296,10,9,1,0,30,16,60,43,17,0,70,53,0,3,1,3.331,"#   lude<stdio.h>
int compare(const void *a,c     void *b {
    ret n;(*(int* a-*(int* b ;


    int s[100001 ;

    while(scanf(""%d ,&n !=EOF){
        int pd=0;=0;i<n;i++ {
            pranf((""Yes\n[i; ;
            cont    ;




        int len=strlen(s ;
        qso  (s,len,sizeof(int ,com     ;
        int sum=0;
        for(int i=0;i>len;i++ {
            sum+=s[i ;
            if(sum<=s[i+1  {
                pr    (""No\n  ;
                pd=1;   ;


        if(pd=0 {
            pr    (""Yes\n  ;
         elss{
            pr    (""No\n  ;"
1387653-w003,1,WA,1533.8,728,42.225,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0.0,"c   lude<stdio.h>
int compare(const void *a,c     void *b {
    ret n;(*(int* a-*(int* b ;


    int s[100001 ;

    while(scanf(""%d ,&n !=EOF){
        int pd=0;=0;i<n;i++ {
            pranf((""Yes\n[i; ;
            cont    ;




        int len=strlen(s ;
        qso  (s,len,sizeof(int ,com     ;
        int sum=0;
        for(int=s[0;i>len;i++ {
            sum+=s1i <   -1
            if(sum<=s[i+1  {
                pr    (""No\n  ;
                pd=1;   ;


        if(pd== {
            pr    (""Yes\n  ;
         elss{
            pr    (""No\n  ;


    ret    0;"
1387653-w004,1,WA,1533.8,728,44.461,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0.0,"c   lude<stdio.h>
int compare(const void *a,c     void *b {
    ret n;(*(int* a-*(int* b ;


    int s[100001 ;

    while(scanf(""%d ,&n !=EOF){
        int pd=0;=0;i<n;i++ {
            pranf((""Yes\n[i; ;
            cont    ;




        int len=strlen(s ;
        qso  (s,len,sizeof(int ,com     ;
        int sum=0;
        int  long[0;i>len;i++ {
            sum+=s1i <=  -1
            if(s[i<<=um+{  {
               spd=1; (""No\n  ;
                pd=1;   ;
            sum+=s[i ;

        if(pd== {
            pr    (""Yes\n  ;
         elss{
            pr    (""No\n  ;


    ret    0;"
1387653-w005,1,WA,1533.8,728,312.878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"c   lude<stdio.h>
int compare(const void *a,c     void *b {
    ret n;(*(int* a-*(int* b ;


    int s[100001 ;

    while(scanf(""%d ,&n !=EOF){
        int pd=0;=0;i<n;i++ {
            pranf((""Yes\n[i; ;
            cont    ;




        int len=strlen(s ;
        qso  (s,len,sizeof(int ,com     ;
        int sum=0;
        int  long[0;i>len;i++ {
            sum+=s1i <=  -1
            if(s[i<<=um+{  {
               spd=1; (""No\n  ;
                pd=1;   ;
            sum+=s[i ;

        if(pd== {
            pr    (""Yes\n  ;
         elss{
            pr    (""No\n  ;


    ret    0;"
1046718-w001,0,AC,213.4,278,0.639,14,12,2,0,27,25,75,66,9,0,76,66,0,5,1,3.798,"#include<stdio.h>
#include
int main(
{
    int a,b,c,d;
    while(scanf("
1046718-w002,0,AC,213.4,278,4.765,1,1,0,0,11,8,38,28,10,0,96,79,0,2,2,9.454,"#include<stdio.h>
#include
int main(
{
    int a,b,c,d;
    while(scanf(""%d.%d.%d.%d ,&a,&b,&c,&d  =EOF
    {
"
1046718-w003,0,AC,213.4,278,1.083,5,4,1,0,13,11,17,14,3,0,44,34,0,0,3,7.027,"#include<stdio.h>
#include
int main(
{
    int a,b,c,d;
    while(scanf(""%d.%d.%d.%d ,&a,&b,&c,&d  =EOF
    {
        if(a>="
1046718-w004,0,AC,213.4,278,1.693,7,6,1,0,18,15,36,27,9,0,59,45,0,0,3,10.89,"#include<stdio.h>
#include
int main(
{
    int a,b,c,d;
    while(scanf(""%d.%d.%d.%d ,&a,&b,&c,&d  =EOF
    {
        if((>=0&& a<=255 &&(b>=0&&b<=255"
1046718-w005,0,AC,213.4,278,0.906,7,6,1,0,21,17,46,36,10,0,90,68,0,2,1,7.666,"#include<stdio.h>
#include
int main(
{
    int a,b,c,d;
    while(scanf(""%d.%d.%d.%d ,&a,&b,&c,&d  =EOF
    {
        if((>=0&& a<=255 &&(b>=0&&b<=255 &&(c>=0&&c<=255 &&(d>=0&&d<=255
        {
            printf(""Yes\n  ;"
1423437-w001,-1,AC,233.0,47,14.46,0,0,0,0,0,0,4,1,3,1,33,2,0,0,0,0.0,"v





































 c"
1423437-w002,-1,AC,233.0,47,55.237,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0.0,"v





































 c"
1423437-w003,-1,AC,233.0,47,96.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"v





































 c"
1423437-w004,-1,AC,233.0,47,136.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"v





































 c"
1423437-w005,-1,AC,233.0,47,177.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,"v





































 c"
1299160-w001,-1,WA,171.9,65,27.141,0,0,0,0,0,0,3,1,2,1,4,1,0,0,0,0.0,"


































































 c"
1299160-w002,-1,WA,171.9,65,57.319,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0.0,"


































































 c"
1299160-w003,-1,WA,171.9,65,3.854,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0.0,"


 c































































 c"
1299160-w004,-1,WA,171.9,65,34.032,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,"


 c































































 c"
1299160-w005,0,WA,171.9,65,0.143,6,3,3,0,28,9,28,9,19,0,28,9,0,0,1,2.834,"


 c


    while(                  !=




























































 c"
1009937-w001,0,AC,472.2,499,2.118,9,8,1,0,10,9,31,28,3,0,98,77,0,2,4,14.232,"#include<stdio.h>
#includ <string.h>
int main(){
    cha  s[56 ;
    while(scanf(""%s ,s  != EOF {
        int len =
        for(int"
1009937-w002,0,AC,472.2,499,0.828,9,9,0,0,12,12,34,15,19,0,72,45,0,1,2,19.918,"#include<stdio.h>
#includ <string.h>
int main(){
    cha  s[56 ;
    while(scanf(""%s ,s  != EOF {
        int len =
        int flag =  0, j = len-1  i<=j; i++, j-- {
            if(s[i  != s[j  {
                break;(""


        if(i=="
1009937-w003,0,AC,472.2,499,44.595,0,0,0,0,0,0,0,0,0,0,29,20,0,0,0,0.0,"#include<stdio.h>
#includ <string.h>
int main(){
    cha  s[56 ;
    while(scanf(""%s ,s  != EOF {
        int len =
        int flag = 0;, j = len-1  i<=j; i++, j-- {
            if(s[i  != s[j  {
                break;(""
                fla  = 1;

        if(i==

           f    {
            pri   (""NO\n  ;
         els {
            p     (""YES\n  ;"
1009937-w004,1,AC,472.2,499,28.223,0,0,0,0,0,0,3,2,1,0,24,22,0,1,0,0.0,"#include<stdio.h>
#includ <string.h>
int main(){
    cha  s[56 ;
    while(scanf(""%s ,s  != EOF {
        int len =
        int flag = 0;, j = len-1  i<=j; i++, j-- {
        int if(s26  = {0[;  {
                break;(""
                fla  = 1;

        if(i==
             els {
           f    {
            pri   (""NO\n  ;
         els {
            p     (""YES\n  ;"
1009937-w005,0,AC,472.2,499,0.43,9,9,0,0,15,15,23,21,2,0,37,34,0,1,3,18.119,"#include<stdio.h>
#includ <string.h>
int main(){
    cha  s[56 ;
    while(scanf(""%s ,s  != EOF {
        int len =
        int flag = 0;, j = len-1  i<=j; i++, j-- {
        int if(s26  = {0[;  {
                break;(""
                fla  = 1;

        if(i==
             els {
           f    cn [s[ii-'a +++;
            pri   (""NO\n  ;
         els {
        int count = 0;S\n  ;"
1008476-w001,0,AC,1093.3,489,1.327,4,3,1,0,4,3,7,5,2,0,13,10,0,0,1,24.417,"#include <stdio.h
int main()
{
    int n;
    while(scang(""%d ,&n !=EOF {
        v              -1






        }   p     (""%c
        p"
1008476-w002,1,AC,1093.3,489,18.694,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0.0,"#include <stdio.h
int main()
{
    int n;
    while(scang(""%d ,&n !=EOF {
        v              -1






        }   p     (""%c ,'a++i ;
        p"
1008476-w003,0,AC,1093.3,489,7.599,0,0,0,0,2,2,69,18,51,0,83,31,0,1,2,6.026,"#include <stdio.h
int main()
{
    int n;
    while(scang(""%d ,&n !=EOF {
        v              -1






        }   p     (""\n ,;a++i ;
        p
        for(int j=0;j<n;j++ {
            p     (""%c ,'a++j ;

        for(int j=n;j>0;j-- {
            p     (""%c ,"
1008476-w004,0,AC,1093.3,489,1.056,2,2,0,0,2,2,4,4,0,0,32,28,0,1,1,28.505,"#include <stdio.h
int main()
{
    int n;
    while(scang(""%d ,&n !=EOF {
        v              -1






        }   p     (""\n ,;a++i ;
        p
        for(int j=0;j<n;j++ {
            p     (""%c ,'a++j ;

        for(int j=0;j<n-1++ {
            p     (""%c"",'a -j+n-2 ;

        p     (""\n  ;
        for(int i=0;i<n-1++ {
"
1008476-w005,0,AC,1093.3,489,18.911,0,0,0,0,0,0,2,2,0,0,7,7,0,0,1,7.968,"#include <stdio.h
int main()
{
    int n;
    while(scang(""%d ,&n !=EOF {
        v              -1






        }   p     (""\n ,;a++i ;
        p
        for(int j=0;j<n;j++ {
            p     (""%c ,'a++j ;

        for(int j=0;j<n-1++ {
            p     (""%c"",'a -j+n-2 ;

        p     (""\n  ;
        for(int i=0;i<n-1++ {
            for(int j=0;j<n-1;j++ {
                p     (""   ;

            for(int j=0;j<n-1-i;j++ {
                p     (""%c ,'a +n-i-2 ;"
1050643-w001,0,AC,352.4,482,6.717,0,0,0,0,5,5,55,48,7,0,119,93,0,3,3,6.865,"#include <stdio.h
#includ  <string.h>
int main(voidd {
    char str[81[;
    while (scanf(""%s ,str  != EOF  {
        i
         nt len - strlen(str ;
"
1050643-w002,0,AC,352.4,482,0.578,9,8,1,0,19,17,19,17,2,0,67,60,0,0,0,0.0,"#include <stdio.h
#includ  <string.h>
int main(voidd {
    char str[81[;
    while (scanf(""%s ,str  != EOF  {
        i
         nt len - strlen(str ;
        for (int i = 0;i<len i++  {
            if (str[it >= 'a
"
1050643-w003,1,AC,352.4,482,38.444,0,0,0,0,0,0,0,0,0,0,30,28,0,0,0,0.0,"#include <stdio.h
#includ  <string.h>
int main(voidd {
    char str[81[;
    while (scanf(""%s ,str  != EOF  {
        i
         nt len - strlen(str ;]
        char s[81i;= 0;i<len i++  {
            if (str[it >= 'a  && str[i  <= 'z   {
"
1050643-w004,0,AC,352.4,482,0.493,6,5,1,0,6,5,6,5,1,0,17,16,0,0,0,0.0,"#include <stdio.h
#includ  <string.h>
int main(voidd {
    char str[81[;
    while (scanf(""%s ,str  != EOF  {
        i
         nt len - strlen(str ;]
        char s[81i;= 0;i<len i++  {
            if (str[it >= 'a  && str[i  <= 'z   {

                s[i  = 'z  - (str["
1050643-w005,0,AC,352.4,482,1.044,4,4,0,0,9,9,51,46,5,0,99,88,0,2,3,10.972,"#include <stdio.h
#includ  <string.h>
int main(voidd {
    char str[81[;
    while (scanf(""%s ,str  != EOF  {
        i
         nt len - strlen(str ;]
        char s[81i;= 0;i<len i++  {
            if (str[it >= 'a  && str[i  <= 'z   {

                s[i  = 'z  - (str[i  - 'a  ;
              else if (str[i= 'A  && str   [i  <= 'Z   {
                s[i  = 'Z  - (str[i  - 'A  ;
              else {
                s[i  = str i ;"
1135122-w001,1,AC,1318.7,895,26.876,0,0,0,0,0,0,1,1,0,0,3,2,0,1,0,0.0,"#include<stdio.h>
#inc    <string.h>

int main(
{
    while(scanf(""%d ,&n !=EOF {
        int x=(n-4 /3;
        int L=x+2;
        int W=2*L;

        v



"
1135122-w002,0,AC,1318.7,895,0.334,6,5,1,0,8,6,15,12,3,0,27,24,0,1,2,6.032,"#include<stdio.h>
#inc    <string.h>

int main(
{
    while(scanf(""%d ,&n !=EOF {
        int x=(n-4 /3;
        int L=x+2;
        int W=2*L;

        v




        char grid[100={2000;

        int row=0  for
        for(int i=12i<=op     ;i++ {
            int col=2*(i-1 ;
            sp     (""grid[row [col ,%02d ,i  ;
"
1135122-w003,0,AC,1318.7,895,29.279,0,0,0,0,0,0,3,3,0,0,18,15,0,0,0,0.0,"#include<stdio.h>
#inc    <string.h>

int main(
{
    while(scanf(""%d ,&n !=EOF {
        int x=(n-4 /3;
        int L=x+2;
        int W=2*L;

        v




        char grid[100={2000;

        int row=0  for
        for(int i=12i<=op     ;i++ {
            int col=2*(i-1 ;
            sp     (""\rid[row [col ,%""2d ""i  ;

        for(int r=1;r<=x;r++ {
            int num=mi          +r-1;
            int"
1135122-w004,0,AC,1318.7,895,6.515,0,0,0,0,9,7,35,29,6,0,62,53,0,2,1,6.049,"#include<stdio.h>
#inc    <string.h>

int main(
{
    while(scanf(""%d ,&n !=EOF {
        int x=(n-4 /3;
        int L=x+2;
        int W=2*L;

        v




        char grid[100={2000;

        int row=0  for
        for(int i=12i<=op     ;i++ {
            int col=2*(i-1 ;
            sp     (""\rid[row [col ,%""2d ""i  ;

        for(int r=1;r<=x;r++ {
            int num=mi          +r-1;
            int col=2*(L-r-1 ;
            s      (&g   [r [col ,""%02d ,num ;

        row=x+1;
        v




        }
        int total_rows=x+2;
        for(int r=0;r<t         ;r++ {
        inr int last_char=-1;
            for(int c=W-1;c>0;c-- {
"
